# Harrogate Town v Gateshead, 31/08/2026 — DAZN highlights clip, 3:05, labelled
# by Richard on 02/09/2026 from the ORIGINAL file, Enterprise only (a board
# per line; his r/c/l board positions dropped — the scorer knows sponsors).
# The "2.17 2.17" flash in his sheet is entered as one second.
window,0:00,3:00
Enterprise,0:00,0:14
Enterprise,0:21,0:22
Enterprise,0:23,0:26
Enterprise,0:26,0:29
Enterprise,0:29,0:31
Enterprise,0:31,0:35
Enterprise,0:36,0:37
Enterprise,0:38,0:41
Enterprise,0:48,0:52
Enterprise,0:53,0:54
Enterprise,0:56,1:04
Enterprise,1:05,1:13
Enterprise,1:15,1:23
Enterprise,1:34,2:16
Enterprise,2:17,2:18
Enterprise,2:19,2:59
