# The answer sheet for Sutton United v Altrincham (18/04/2026, 8m14s
# highlights) — hand-labelled by Richard, 29/08/2026, watching the full
# package on a phone. Every engine version is scored against this file by
# scripts/board_exposure_eval.py; it never feeds a scan, it only marks one.
#
# One row per continuous appearance, video clock. Name is
# <Sponsor>/<board as Richard calls it>; the sponsor part matches the
# reference folder name and is what scoring rolls up to. Abutting rows are
# shot cuts with the board visible throughout, split at the cut for ease of
# labelling. The bar was "legible at a glance" — attribution, not the whole
# board in frame. DAZN's corner watermark is NOT labelled anywhere here,
# deliberately: it is broadcast furniture, and an engine that counts it is
# wrong.
window,0:00,8:14
Enterprise/goal-left,0:00,0:21
Enterprise/goal-left,0:29,0:34
Enterprise/goal-left,1:13,1:15
Enterprise/goal-left,2:03,2:08
Enterprise/goal-left,3:47,3:53
Enterprise/goal-left,6:18,6:21
Enterprise/goal-left,7:04,7:07
Enterprise/goal-left,7:47,7:49
Enterprise/goal-right,1:46,1:47
Enterprise/goal-right,2:27,2:31
Enterprise/goal-right,3:28,3:42
Enterprise/goal-right,4:30,4:39
Enterprise/goal-right,4:53,4:54
Enterprise/goal-right,5:13,5:50
Enterprise/goal-right,7:01,7:04
Enterprise/goal-right,7:49,8:02
Enterprise/dugout-left,0:41,0:45
Enterprise/dugout-left,0:53,0:55
Enterprise/dugout-left,1:07,1:10
Enterprise/dugout-left,1:15,1:16
Enterprise/dugout-left,1:28,1:31
Enterprise/dugout-left,1:36,1:39
Enterprise/dugout-left,2:01,2:02
Enterprise/dugout-left,2:07,2:11
Enterprise/dugout-left,2:14,2:17
Enterprise/dugout-left,3:10,3:24
Enterprise/dugout-left,3:45,3:47
Enterprise/dugout-left,3:54,4:27
Enterprise/dugout-left,5:58,6:01
Enterprise/dugout-left,6:03,6:06
Enterprise/dugout-left,6:07,6:13
Enterprise/dugout-left,6:21,6:26
Enterprise/dugout-left,6:27,6:34
Enterprise/dugout-left,6:37,6:47
Enterprise/dugout-left,6:50,6:54
Enterprise/dugout-left,7:08,7:25
Enterprise/dugout-left,7:33,7:44
Enterprise/dugout-right,0:44,0:45
Enterprise/dugout-right,0:45,0:51
Enterprise/dugout-right,1:15,1:29
Enterprise/dugout-right,1:39,1:41
Enterprise/dugout-right,2:01,2:02
Enterprise/dugout-right,2:09,2:23
Enterprise/dugout-right,2:43,2:44
Enterprise/dugout-right,2:58,3:09
Enterprise/dugout-right,3:09,3:33
Enterprise/dugout-right,3:35,3:39
Enterprise/dugout-right,3:43,3:46
Enterprise/dugout-right,3:54,4:29
Enterprise/dugout-right,5:54,5:59
Enterprise/dugout-right,6:04,6:10
Enterprise/dugout-right,6:29,6:42
Enterprise/dugout-right,6:53,6:56
Enterprise/dugout-right,7:23,7:29
Enterprise/dugout-right,7:33,7:34
Enterprise/dugout-right,7:40,7:41
Enterprise/dugout-right,8:08,8:09
DAZN/corner-board,1:42,1:59
DAZN/corner-board,1:59,2:00
DAZN/corner-board,2:25,2:44
DAZN/corner-board,2:44,3:04
DAZN/corner-board,3:14,3:22
DAZN/corner-board,3:24,3:44
DAZN/corner-board,4:29,4:33
DAZN/corner-board,4:36,4:39
DAZN/corner-board,4:42,4:45
DAZN/corner-board,4:52,5:52
DAZN/corner-board,6:58,7:02
DAZN/corner-board,7:28,7:32
DAZN/corner-board,8:00,8:14
TIC Health/board,1:42,1:58
TIC Health/board,2:25,2:44
TIC Health/board,2:44,3:06
TIC Health/board,3:14,3:44
TIC Health/board,4:28,4:32
TIC Health/board,4:36,4:39
TIC Health/board,4:39,4:45
TIC Health/board,4:51,4:53
TIC Health/board,4:54,5:51
TIC Health/board,5:51,5:52
TIC Health/board,6:35,6:38
TIC Health/board,6:57,7:01
TIC Health/board,7:28,7:33
TIC Health/board,8:00,8:14
