# Horsham v Hampton & Richmond, 18/08/2026 — hand-labels, Richard, 30/08/2026
# Labelled from the ORIGINAL 1080p file (not the proxy); clock = file clock,
# which equals the scan clock (window starts at 0:00, whole file scanned).
# Richard's own standard note, verbatim: "very generous read of very zoomed
# out items" — legible-to-the-eye at full screen, blur and distance included.
# left-end / right-end are the two ends of the pitch as he called them.
window,0:00,4:32
DAZN/right-end,0:08,0:19
DAZN/right-end,0:32,0:34
DAZN/left-end,0:37,0:42
DAZN/left-end,0:43,0:44
DAZN/left-end,0:55,0:59
DAZN,1:08,1:14
DAZN/left-end,1:19,1:32
DAZN/right-end,1:43,1:45
DAZN/right-end,1:49,1:50
DAZN/left-end,1:50,1:51
DAZN/left-end,1:54,1:59
DAZN/right-end,2:11,2:14
DAZN/right-end,2:16,2:17
DAZN/left-end,2:20,2:34
DAZN/right-end,2:46,2:49
DAZN/right-end,2:55,3:02
DAZN/right-end,3:09,3:15
DAZN/left-end,3:22,3:28
DAZN/right-end,3:38,3:39
DAZN/left-end,3:50,3:58
DAZN/right-end,3:58,4:15
DAZN/right-end,4:20,4:24
# Enterprise: one board behind each goal (left-end / right-end) plus a
# double board at the halfway line (centre).
Enterprise/right-end,0:09,0:19
Enterprise/centre,0:20,0:23
Enterprise/centre,0:23,0:26
Enterprise/right-end,0:31,0:34
Enterprise/left-end,0:35,0:42
Enterprise/left-end,0:43,0:45
Enterprise/left-end,0:49,0:59
Enterprise/left-end,1:07,1:09
Enterprise/left-end,1:10,1:13
Enterprise/left-end,1:19,1:31
Enterprise/centre,1:34,1:37
Enterprise/right-end,1:43,1:45
Enterprise/right-end,1:49,1:50
Enterprise/left-end,1:50,1:51
Enterprise/left-end,1:54,1:59
Enterprise/right-end,2:11,2:14
Enterprise/right-end,2:16,2:18
Enterprise/centre,2:17,2:20
Enterprise/left-end,2:19,2:35
Enterprise/centre,2:37,2:39
Enterprise/right-end,2:46,2:49
Enterprise/centre,2:50,2:54
Enterprise/right-end,2:54,3:02
Enterprise/right-end,3:09,3:15
Enterprise/left-end,3:21,3:27
Enterprise/centre,3:29,3:34
Enterprise/right-end,3:38,3:40
Enterprise/right-end,3:47,3:50
Enterprise/left-end,3:50,3:58
Enterprise/right-end,3:58,4:16
Enterprise/right-end,4:20,4:26
# TIC Health: one board, left end only.
TIC Health/left-end,0:37,0:43
TIC Health/left-end,0:43,0:45
TIC Health/left-end,0:50,1:00
TIC Health/left-end,1:08,1:14
TIC Health/left-end,1:19,1:29
TIC Health/left-end,1:50,1:53
TIC Health/left-end,1:54,1:58
TIC Health/left-end,2:19,2:35
TIC Health/left-end,3:21,3:28
TIC Health/left-end,3:50,3:58
